FC Porto,https://upload.wikimedia.org/wikipedia/pt/c/c5/F.C._Porto_logo.png
Sporting,https://upload.wikimedia.org/wikipedia/pt/3/3e/Sporting_Clube_de_Portugal.png
Benfica,https://upload.wikimedia.org/wikipedia/en/a/a2/SL_Benfica_logo.svg
Belenenses,https://upload.wikimedia.org/wikipedia/pt/2/2a/Os_Belenenses.png
V. Setúbal,https://www.zerozero.pt/img/logos/equipas/35_imgbank.png
União Lisboa,https://upload.wikimedia.org/wikipedia/commons/3/3d/Uniao_lisboa.png
Académico FC,https://upload.wikimedia.org/wikipedia/pt/thumb/2/2a/Academico_FC.svg/1200px-Academico_FC.svg.png
Académica OAF,https://upload.wikimedia.org/wikipedia/commons/d/d5/Academicadecoimbra.png
Boavista,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Boavista_F.C._logo.svg/1200px-Boavista_F.C._logo.svg.png
Carcavelinhos,https://upload.wikimedia.org/wikipedia/commons/c/c5/Carcavelinhos.png
Leixões,https://upload.wikimedia.org/wikipedia/pt/1/10/Logo_Leix%C3%B5es.png
Barreirense,https://www.famalicaodesportivo.pt/op/image/?co=11268&h=174b1
Casa Pia,https://www.zerozero.pt/img/logos/equipas/2412_imgbank.png
Unidos de Lisboa,https://www.zerozero.pt/img/logos/equipas/2188_imgbank.png
Olhanense,https://upload.wikimedia.org/wikipedia/en/3/3b/SC_Olhanense.png
V. Guimarães,https://upload.wikimedia.org/wikipedia/pt/b/b3/VitoriaGuimaraes.png
Leça FC,https://www.zerozero.pt/img/logos/equipas/24_imgbank.png
CUF,https://i.pinimg.com/originals/ac/f7/2f/acf72f56cadfc1e55c453591201cb51e.png
Atlético CP,https://www.zerozero.pt/img/logos/equipas/2170_imgbank.png
SC Salgueiros,http://scsalgueiros.com/wp-content/uploads/2019/01/logo.png
Estoril Praia,https://upload.wikimedia.org/wikipedia/pt/9/9d/Logo_Estoril-Praia.png
SL Elvas,https://serbenfiquista.com/sites/default/files/styles/sl_medium/public/176_1aiutx.png?itok=TX5sShj-
UD Oliveirense,http://udoliveirense.pt/wp-content/uploads/2018/03/logo_normal.png
FC Famalicão,https://upload.wikimedia.org/wikipedia/commons/d/de/Logo_fc_famalic%C3%A3o.png
AD Sanjoanense,http://2.bp.blogspot.com/_7tsmgYAv2ao/RyCYCdEWmWI/AAAAAAAAFAc/euXCBJ1fkEg/w1200-h630-p-k-no-nu/1+-+Sanjoanense+1.jpg
O Elvas,https://upload.wikimedia.org/wikipedia/pt/thumb/b/b1/O_Elvas_CAD.PNG/180px-O_Elvas_CAD.PNG
Lusitano VRSA,https://www.zerozero.pt/img/logos/equipas/2186_imgbank.png
SC Braga,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/S.C._Braga_logo.svg/1200px-S.C._Braga_logo.svg.png
SC Covilhã,https://upload.wikimedia.org/wikipedia/en/e/e8/Sporting_Clube_da_Covilh%C3%A3.png
Oriental,https://upload.wikimedia.org/wikipedia/pt/a/a0/Clube_Oriental_de_Lisboa.png
Lusit. Évora,https://www.zerozero.pt/img/logos/equipas/2173_imgbank.png
Torreense,https://sportizzy.s3.amazonaws.com/torreense/thumbs/soccer/teams/thumbnail_icone3.png.0x250_q85_crop_scale.png
Caldas SC,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Caldas_SC_logo.png/180px-Caldas_SC_logo.png
Beira-Mar,https://upload.wikimedia.org/wikipedia/pt/b/b9/Logo_Beira-Mar.png
Feirense,https://upload.wikimedia.org/wikipedia/pt/0/03/Logo_Feirense.png
Varzim,https://upload.wikimedia.org/wikipedia/pt/5/56/Varzim_SC_Logo.png
Seixal FC,https://i.pinimg.com/originals/a5/b4/2b/a5b42b6d866e71925ee9b66cc3f3ead4.png
Sanjoanense,https://www.zerozero.pt/img/logos/equipas/2185_imgbank.png
Tirsense,https://upload.wikimedia.org/wikipedia/pt/7/75/FutebolClubeTirsense.png
U. Tomar,https://www.zerozero.pt/img/logos/equipas/2179_imgbank.png
Farense,https://upload.wikimedia.org/wikipedia/pt/d/d1/S.C._Farense.png
Montijo,https://www.zerozero.pt/img/logos/equipas/11139_imgbank.png
U. Coimbra,https://upload.wikimedia.org/wikipedia/commons/5/58/S%C3%ADmbolo_atual_do_Uni%C3%A3o_de_Coimbra.png
SC Espinho,https://scespinho.pt/wp-content/uploads/2019/06/Logotipo-Espinho_2.png
Portimonense,https://upload.wikimedia.org/wikipedia/pt/1/1c/Logo_Portimonense.png
Marítimo,https://upload.wikimedia.org/wikipedia/pt/a/a2/Logo_CS_Maritimo.png
Riopele,https://upload.wikimedia.org/wikipedia/pt/thumb/7/7e/Gdriopele.gif/140px-Gdriopele.gif
Académico de Viseu,https://upload.wikimedia.org/wikipedia/commons/d/dd/AVFC.png
UD Leiria,https://upload.wikimedia.org/wikipedia/en/0/02/Uni%C3%A3o_de_Leiria.png
Rio Ave,https://upload.wikimedia.org/wikipedia/pt/f/f5/Logo_Rio_Ave.png
FC Penafiel,https://upload.wikimedia.org/wikipedia/commons/d/d6/LOGO_FC_PENAFIEL_PNG.png
Amora FC,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Amora_F.C._logo.svg/1200px-Amora_F.C._logo.svg.png
Ginásio de Alcobaça,https://upload.wikimedia.org/wikipedia/pt/thumb/4/4c/GC_Alcoba%C3%A7a.GIF/180px-GC_Alcoba%C3%A7a.GIF
RD Águeda,https://upload.wikimedia.org/wikipedia/en/4/47/R.D._%C3%81gueda_logo.png
FC Vizela,https://upload.wikimedia.org/wikipedia/pt/b/b9/Futebol_Clube_de_Vizela.png
GD Chaves,https://upload.wikimedia.org/wikipedia/pt/0/05/G_D_Chaves.png
CD Aves,https://upload.wikimedia.org/wikipedia/pt/5/54/Logo_Desportivo_das_Aves.png
Est. Amadora,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/SIMBOLO_CFEA.svg/1200px-SIMBOLO_CFEA.svg.png
Nacional,https://upload.wikimedia.org/wikipedia/pt/f/f9/CDNacional_logotipo.gif
Fafe,https://www.adfafe.pt/images/logofafe.png
União Madeira,https://upload.wikimedia.org/wikipedia/pt/d/d1/1561.png
Gil Vicente,https://upload.wikimedia.org/wikipedia/pt/thumb/2/27/Logo_Gil_Vicente.svg/1200px-Logo_Gil_Vicente.svg.png
Paços de Ferreira,https://upload.wikimedia.org/wikipedia/pt/3/3d/Futebol_Clube_Pa%C3%A7os_de_Ferreira.png
FC Felgueiras,https://upload.wikimedia.org/wikipedia/en/6/63/F.C._Felgueiras_1932_logo.png
Campomaiorense,https://www.zerozero.pt/img/logos/equipas/2177_imgbank.png
FC Alverca,https://fcalvercafutebolsad.pt/wp-content/uploads/2019/04/logo_clube.png
Santa Clara,https://cdsantaclara.com/wp-content/uploads/2020/02/cdsantaclara.png
Moreirense,https://upload.wikimedia.org/wikipedia/pt/thumb/8/8c/Logo_Moreirense.svg/1200px-Logo_Moreirense.svg.png
Naval,https://upload.wikimedia.org/wikipedia/pt/9/9e/Naval_1%C2%BA_Maio.png
Trofense,https://upload.wikimedia.org/wikipedia/pt/7/79/CD_Trofense_Logo.png
FC Arouca,https://upload.wikimedia.org/wikipedia/pt/8/84/2310.png
CD Tondela,https://upload.wikimedia.org/wikipedia/pt/0/00/C.D._Tondela.png
Belenenses SAD,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Belenenses_SAD_logo.svg/1200px-Belenenses_SAD_logo.svg.png
