,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,43,26,19,5,2,66,17,49,a
2,,FC Porto,41,26,18,5,3,57,16,41,a
3,,Benfica,36,26,14,8,4,69,38,31,a
4,,CUF,33,26,14,5,7,44,34,10,a
5,,Belenenses,31,26,12,7,7,51,35,16,a
6,,Atlético CP,26,26,11,4,11,41,42,-1,a
7,,Leixões,23,26,10,3,13,47,55,-8,a
8,,Olhanense,22,26,8,6,12,33,41,-8,a
9,,V. Guimarães,22,26,9,4,13,44,47,-3,a
10,,Académica OAF,22,26,9,4,13,44,54,-10,a
11,,Beira-Mar,21,26,8,5,13,43,61,-18,a
12,,Lusit. Évora,20,26,9,2,15,31,42,-11,a
13,,SC Covilhã,17,26,6,5,15,30,48,-18,a
14,,SC Salgueiros,7,26,2,3,21,17,87,-70,a
