,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,78,30,24,6,0,70,14,56,a
2,,Benfica,77,30,24,5,1,77,20,57,a
3,,Paços de Ferreira,54,30,14,12,4,42,29,13,a
4,,SC Braga,52,30,16,4,10,60,44,16,a
5,,Estoril Praia,45,30,13,6,11,47,37,10,a
6,,Rio Ave,42,30,12,6,12,35,42,-7,a
7,,Sporting,42,30,11,9,10,36,36,0,a
8,,Nacional,40,30,11,7,12,45,51,-6,a
9,,V. Guimarães,40,30,11,7,12,36,47,-11,a
10,,Marítimo,38,30,9,11,10,34,45,-11,a
11,,Académica OAF,28,30,6,10,14,33,45,-12,a
12,,V. Setúbal,26,30,7,5,18,30,55,-25,a
13,,Gil Vicente,25,30,6,7,17,31,54,-23,a
14,,Olhanense,25,30,5,10,15,26,42,-16,a
15,,Moreirense,24,30,5,9,16,30,51,-21,a
16,,Beira-Mar,23,30,5,8,17,35,55,-20,a
