,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,56,34,24,8,2,58,11,47,a
2,,Benfica,46,34,17,12,5,62,23,39,a
3,,Boavista,44,34,16,12,6,45,27,18,a
4,,Sporting,44,34,18,8,8,56,26,30,a
5,,V. Guimarães,41,34,14,13,7,46,35,11,a
6,,Farense,35,34,12,11,11,35,33,2,a
7,,Marítimo,35,34,12,11,11,40,38,2,a
8,,Beira-Mar,32,34,11,10,13,32,41,-9,a
9,,GD Chaves,30,34,10,10,14,36,45,-9,a
10,,Estoril Praia,30,34,10,10,14,34,54,-20,a
11,,SC Braga,29,34,12,5,17,41,49,-8,a
12,,Paços de Ferreira,29,34,10,9,15,31,45,-14,a
13,,Gil Vicente,29,34,11,7,16,26,42,-16,a
14,,FC Famalicão,28,34,9,10,15,27,40,-13,a
15,,SC Salgueiros,28,34,7,14,13,27,35,-8,a
16,,Torreense,27,34,8,11,15,36,43,-7,a
17,,FC Penafiel,25,34,7,11,16,30,47,-17,a
18,,União Madeira,24,34,9,6,19,30,58,-28,a
