,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,87,34,28,3,3,103,31,72,a
2,,FC Porto,85,34,27,4,3,74,20,54,a
3,,Sporting,74,34,23,5,6,72,33,39,a
4,,SC Braga,67,34,21,4,9,56,37,19,a
5,,V. Guimarães,52,34,15,7,12,46,34,12,a
6,,Moreirense,52,34,16,4,14,39,44,-5,a
7,,Rio Ave,45,34,12,9,13,50,52,-2,a
8,,Boavista,44,34,13,5,16,34,40,-6,a
9,,Belenenses SAD,43,34,10,13,11,42,51,-9,a
10,,Santa Clara,42,34,11,9,14,43,45,-2,a
11,,Marítimo,39,34,12,3,19,26,44,-18,a
12,,Portimonense,39,34,11,6,17,44,59,-15,a
13,,V. Setúbal,36,34,8,12,14,28,39,-11,a
14,,CD Aves,36,34,10,6,18,35,49,-14,a
15,,CD Tondela,35,34,9,8,17,40,54,-14,a
16,,GD Chaves,32,34,8,8,18,34,57,-23,a
17,,Nacional,28,34,7,7,20,33,73,-40,a
18,,Feirense,20,34,3,11,20,27,64,-37,a
