,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,54,34,23,8,3,73,25,48,a
2,,FC Porto,52,34,21,10,3,56,15,41,a
3,,Sporting,51,34,23,5,6,71,29,42,a
4,,Boavista,38,34,16,6,12,46,31,15,a
5,,Marítimo,38,34,13,12,9,45,40,5,a
6,,V. Setúbal,34,34,14,6,14,56,42,14,a
7,,Est. Amadora,33,34,9,15,10,39,36,3,a
8,,V. Guimarães,33,34,11,11,12,30,31,-1,a
9,,Farense,33,34,13,7,14,44,46,-2,a
10,,União Madeira,31,34,11,9,14,36,42,-6,a
11,,SC Salgueiros,31,34,14,3,17,48,56,-8,a
12,,Gil Vicente,31,34,10,11,13,27,47,-20,a
13,,Belenenses,30,34,12,6,16,39,51,-12,a
14,,Beira-Mar,29,34,9,11,14,28,38,-10,a
15,,SC Braga,28,34,9,10,15,33,43,-10,a
16,,Paços de Ferreira,26,34,7,12,15,31,49,-18,a
17,,FC Famalicão,22,34,7,8,19,26,72,-46,a
18,,Estoril Praia,18,34,5,8,21,22,57,-35,a
