,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,48,30,20,8,2,50,25,25,a
2,,FC Porto,46,30,20,6,4,67,22,45,a
3,,V. Guimarães,41,30,14,13,3,45,22,23,a
4,,Sporting,38,30,15,8,7,52,28,24,a
5,,GD Chaves,33,30,13,7,10,39,38,1,a
6,,Belenenses,30,30,13,4,13,52,40,12,a
7,,Varzim,29,30,8,13,9,24,29,-5,a
8,,Boavista,27,30,9,9,12,34,36,-2,a
9,,Portimonense,26,30,8,10,12,27,47,-20,a
10,,Académica OAF,26,30,7,12,11,22,34,-12,a
11,,SC Braga,25,30,10,5,15,31,36,-5,a
12,,Marítimo,25,30,9,7,14,34,49,-15,a
13,,Rio Ave,25,30,8,9,13,33,40,-7,a
14,,SC Salgueiros,24,30,6,12,12,22,40,-18,a
15,,Farense,21,30,7,7,16,33,47,-14,a
16,,O Elvas,14,30,3,8,19,16,54,-38,a
