,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,58,30,28,2,0,101,13,88,a
2,,Belenenses,40,30,14,12,4,53,30,23,a
3,,V. Setúbal,38,30,16,6,8,65,26,39,a
4,,FC Porto,37,30,15,7,8,56,28,28,a
5,,Sporting,37,30,15,7,8,57,31,26,a
6,,V. Guimarães,33,30,11,11,8,38,38,0,a
7,,Boavista,31,30,12,7,11,41,47,-6,a
8,,CUF,30,30,11,8,11,38,37,1,a
9,,Leixões,30,30,11,8,11,32,45,-13,a
10,,Barreirense,25,30,9,7,14,43,64,-21,a
11,,Farense,24,30,8,8,14,27,53,-26,a
12,,Beira-Mar,23,30,5,13,12,27,57,-30,a
13,,Montijo,23,30,9,5,16,29,47,-18,a
14,,U. Coimbra,17,30,5,7,18,22,54,-32,a
15,,Atlético CP,17,30,4,9,17,27,52,-25,a
16,,U. Tomar,17,30,6,5,19,35,69,-34,a
