,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,75,30,24,3,3,60,13,47,a
2,,Sporting,55,30,16,7,7,46,28,18,a
3,,V. Guimarães,53,30,15,8,7,35,31,4,a
4,,Benfica,52,30,13,13,4,45,21,24,a
5,,Marítimo,46,30,14,4,12,39,28,11,a
6,,V. Setúbal,45,30,11,12,7,37,33,4,a
7,,SC Braga,41,30,10,11,9,32,34,-2,a
8,,Belenenses,40,30,11,10,9,35,33,2,a
9,,Nacional,35,30,9,8,13,23,28,-5,a
10,,Boavista,35,30,8,12,10,32,41,-9,a
11,,Naval,34,30,9,7,14,26,45,-19,a
12,,Académica OAF,32,30,6,14,10,31,38,-7,a
13,,Est. Amadora,31,30,6,13,11,29,41,-12,a
14,,Leixões,26,30,4,14,12,27,37,-10,a
15,,Paços de Ferreira,25,30,6,7,17,31,49,-18,a
16,,UD Leiria,13,30,3,7,20,25,53,-28,a
