,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,43,26,19,5,2,77,22,55,a
2,,Benfica,39,26,17,5,4,75,27,48,a
3,,Belenenses,36,26,15,6,5,60,29,31,a
4,,FC Porto,36,26,16,4,6,58,35,23,a
5,,Barreirense,28,26,10,8,8,44,40,4,a
6,,V. Setúbal,27,26,11,5,10,40,33,7,a
7,,Lusit. Évora,25,26,10,5,11,31,44,-13,a
8,,V. Guimarães,20,26,7,6,13,28,54,-26,a
9,,Boavista,20,26,7,6,13,35,54,-19,a
10,,SC Covilhã,20,26,7,6,13,38,54,-16,a
11,,Académica OAF,19,26,7,5,14,39,57,-18,a
12,,Atlético CP,19,26,6,7,13,33,52,-19,a
13,,SC Braga,18,26,8,2,16,37,58,-21,a
14,,Estoril Praia,14,26,5,4,17,28,64,-36,a
