,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,46,26,21,4,1,103,26,77,a
2,,FC Porto,40,26,16,8,2,51,20,31,a
3,,Sporting,34,26,13,8,5,49,26,23,a
4,,V. Guimarães,34,26,16,2,8,62,42,20,a
5,,Belenenses,30,26,12,6,8,46,36,10,a
6,,CUF,30,26,12,6,8,46,33,13,a
7,,V. Setúbal,29,26,12,5,9,46,41,5,a
8,,Leixões,25,26,8,9,9,34,44,-10,a
9,,Académica OAF,25,26,11,3,12,43,48,-5,a
10,,Varzim,20,26,8,4,14,37,57,-20,a
11,,Lusit. Évora,14,26,5,4,17,22,51,-29,a
12,,Seixal FC,14,26,4,6,16,28,66,-38,a
13,,Olhanense,12,26,2,8,16,20,57,-37,a
14,,Barreirense,11,26,4,3,19,22,62,-40,a
