,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,66,38,29,8,1,88,15,73,a
2,,Benfica,51,38,19,13,6,59,25,34,a
3,,Belenenses,48,38,18,12,8,52,38,14,a
4,,Sporting,47,38,17,13,8,62,41,21,a
5,,Boavista,46,38,16,14,8,42,25,17,a
6,,GD Chaves,40,38,13,14,11,51,31,20,a
7,,V. Setúbal,40,38,15,10,13,56,43,13,a
8,,SC Espinho,40,38,13,14,11,42,38,4,a
9,,Marítimo,39,38,11,17,10,36,37,-1,a
10,,FC Penafiel,38,38,10,18,10,36,45,-9,a
11,,SC Braga,34,38,8,18,12,32,42,-10,a
12,,Farense,34,38,12,10,16,36,50,-14,a
13,,Portimonense,34,38,12,10,16,35,50,-15,a
14,,V. Guimarães,33,38,11,11,16,48,50,-2,a
15,,O Elvas,33,38,8,17,13,35,40,-5,a
16,,Académica OAF,33,38,9,15,14,32,42,-10,a
17,,Varzim,30,38,7,16,15,31,52,-21,a
18,,Rio Ave,28,38,7,14,17,29,67,-38,a
19,,SC Salgueiros,25,38,6,13,19,31,62,-31,a
20,,SC Covilhã,21,38,5,11,22,30,70,-40,a
