,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,49,30,22,5,3,64,20,44,a
2,,Benfica,47,30,21,5,4,54,13,41,a
3,,Sporting,46,30,20,6,4,64,20,44,a
4,,V. Guimarães,40,30,16,8,6,51,29,22,a
5,,Boavista,36,30,14,8,8,44,29,15,a
6,,GD Chaves,29,30,11,7,12,28,38,-10,a
7,,Portimonense,28,30,11,6,13,29,32,-3,a
8,,Belenenses,28,30,7,14,9,27,30,-3,a
9,,SC Braga,26,30,9,8,13,34,47,-13,a
10,,SC Salgueiros,25,30,9,7,14,21,37,-16,a
11,,Académica OAF,25,30,9,7,14,28,38,-10,a
12,,Marítimo,22,30,8,6,16,26,50,-24,a
13,,CD Aves,22,30,7,8,15,25,42,-17,a
14,,V. Setúbal,22,30,7,8,15,32,42,-10,a
15,,FC Penafiel,18,30,4,10,16,16,38,-22,a
16,,SC Covilhã,17,30,5,7,18,23,61,-38,a
