,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,79,34,24,7,3,54,16,38,a
2,,Sporting,72,34,22,6,6,50,24,26,a
3,,Benfica,67,34,20,7,7,51,29,22,a
4,,SC Braga,58,34,17,7,10,38,22,16,a
5,,Nacional,52,34,14,10,10,40,32,8,a
6,,Boavista,50,34,12,14,8,37,29,8,a
7,,UD Leiria,47,34,13,8,13,44,42,2,a
8,,V. Setúbal,46,34,14,4,16,28,33,-5,a
9,,Est. Amadora,45,34,12,9,13,31,33,-2,a
10,,Marítimo,44,34,10,14,10,38,37,1,a
11,,Paços de Ferreira,42,34,11,9,14,38,49,-11,a
12,,Gil Vicente,40,34,11,7,16,37,42,-5,a
13,,Naval,39,34,11,6,17,35,48,-13,a
14,,Académica OAF,39,34,10,9,15,37,48,-11,a
15,,Belenenses,39,34,11,6,17,40,42,-2,a
16,,Rio Ave,34,34,8,10,16,34,53,-19,a
17,,V. Guimarães,34,34,8,10,16,28,41,-13,a
18,,FC Penafiel,15,34,2,9,23,21,61,-40,a
