,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,45,26,21,3,2,91,28,63,a
2,,FC Porto,34,26,15,4,7,67,32,35,a
3,,Benfica,30,26,12,6,8,81,43,38,a
4,,Atlético CP,30,26,12,6,8,62,49,13,a
5,,Oriental,27,26,11,5,10,37,57,-20,a
6,,SC Covilhã,26,26,13,0,13,62,53,9,a
7,,SC Braga,25,26,10,5,11,42,57,-15,a
8,,Belenenses,24,26,10,4,12,45,48,-3,a
9,,Académica OAF,24,26,10,4,12,40,53,-13,a
10,,Boavista,23,26,10,3,13,50,62,-12,a
11,,Estoril Praia,21,26,10,1,15,53,58,-5,a
12,,V. Setúbal,20,26,8,4,14,31,58,-27,a
13,,V. Guimarães,18,26,6,6,14,40,57,-17,a
14,,Olhanense,17,26,7,3,16,31,77,-46,a
