,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,79,34,24,7,3,85,26,59,a
2,,Boavista,71,34,20,11,3,57,29,28,a
3,,Benfica,65,34,19,8,7,71,29,42,a
4,,Sporting,63,34,17,12,5,64,32,32,a
5,,V. Setúbal,53,34,15,8,11,37,38,-1,a
6,,UD Leiria,52,34,14,10,10,36,29,7,a
7,,V. Guimarães,50,34,14,8,12,53,41,12,a
8,,Est. Amadora,45,34,11,12,11,33,40,-7,a
9,,SC Braga,42,34,10,12,12,38,50,-12,a
10,,Marítimo,41,34,10,11,13,44,45,-1,a
11,,Farense,39,34,10,9,15,39,54,-15,a
12,,SC Salgueiros,38,34,7,17,10,45,55,-10,a
13,,Campomaiorense,37,34,10,7,17,41,51,-10,a
14,,FC Alverca,35,34,8,11,15,36,50,-14,a
15,,Rio Ave,35,34,8,11,15,26,47,-21,a
16,,Beira-Mar,33,34,6,15,13,36,53,-17,a
17,,GD Chaves,25,34,5,10,19,39,70,-31,a
18,,Académica OAF,21,34,4,9,21,30,71,-41,a
