,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,41,26,17,7,2,75,25,50,a
2,,FC Porto,40,26,18,4,4,86,23,63,a
3,,Belenenses,33,26,13,7,6,74,50,24,a
4,,Sporting,31,26,12,7,7,62,28,34,a
5,,Lusit. Évora,30,26,13,4,9,57,51,6,a
6,,Académica OAF,28,26,12,4,10,45,33,12,a
7,,Torreense,24,26,10,4,12,44,50,-6,a
8,,Oriental,23,26,8,7,11,27,44,-17,a
9,,CUF,21,26,9,3,14,35,69,-34,a
10,,V. Setúbal,20,26,8,4,14,40,59,-19,a
11,,Barreirense,20,26,8,4,14,39,62,-23,a
12,,Caldas SC,19,26,6,7,13,32,63,-31,a
13,,SC Covilhã,18,26,7,4,15,33,62,-29,a
14,,Atlético CP,16,26,6,4,16,32,62,-30,a
