,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,69,38,32,5,1,89,18,71,a
2,,FC Porto,67,38,31,5,2,77,22,55,a
3,,Sporting,56,38,24,8,6,58,23,35,a
4,,Boavista,41,38,15,11,12,53,46,7,a
5,,SC Salgueiros,36,38,12,12,14,32,48,-16,a
6,,Beira-Mar,36,38,12,12,14,40,49,-9,a
7,,SC Braga,34,38,13,8,17,42,45,-3,a
8,,GD Chaves,34,38,10,14,14,49,52,-3,a
9,,V. Guimarães,34,38,12,10,16,31,40,-9,a
10,,Marítimo,34,38,12,10,16,37,48,-11,a
11,,Farense,34,38,14,6,18,46,47,-1,a
12,,União Madeira,33,38,9,15,14,30,51,-21,a
13,,Gil Vicente,33,38,11,11,16,34,46,-12,a
14,,FC Penafiel,33,38,12,9,17,34,51,-17,a
15,,FC Famalicão,33,38,11,11,16,33,41,-8,a
16,,Tirsense,33,38,10,13,15,39,50,-11,a
17,,V. Setúbal,32,38,11,10,17,53,53,0,a
18,,Est. Amadora,32,38,9,14,15,37,46,-9,a
19,,Belenenses,29,38,10,9,19,27,38,-11,a
20,,Nacional,27,38,8,11,19,33,60,-27,a
