,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,50,30,21,8,1,70,19,51,a
2,,Benfica,49,30,23,3,4,75,21,54,a
3,,Sporting,42,30,17,8,5,46,22,24,a
4,,SC Braga,37,30,16,5,9,49,35,14,a
5,,Varzim,32,30,11,10,9,30,29,1,a
6,,V. Guimarães,31,30,12,7,11,44,38,6,a
7,,V. Setúbal,31,30,12,7,11,38,38,0,a
8,,Belenenses,29,30,10,9,11,47,43,4,a
9,,Marítimo,27,30,11,5,14,36,37,-1,a
10,,Boavista,27,30,12,3,15,36,40,-4,a
11,,Estoril Praia,26,30,8,10,12,24,42,-18,a
12,,Beira-Mar,24,30,11,2,17,44,56,-12,a
13,,FC Famalicão,24,30,9,6,15,30,45,-15,a
14,,Barreirense,22,30,8,6,16,24,45,-21,a
15,,Académica OAF,18,30,5,8,17,20,41,-21,a
16,,Académico de Viseu,11,30,5,1,24,13,75,-62,a
