,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,49,30,21,7,2,62,12,50,a
2,,FC Porto,44,30,19,6,5,62,30,32,a
3,,Sporting,43,30,17,9,4,59,25,34,a
4,,Boavista,38,30,16,6,8,58,32,26,a
5,,V. Guimarães,38,30,16,6,8,64,36,28,a
6,,Belenenses,35,30,14,7,9,45,37,8,a
7,,V. Setúbal,29,30,11,7,12,47,35,12,a
8,,Leixões,29,30,10,9,11,29,42,-13,a
9,,CUF,29,30,10,9,11,40,40,0,a
10,,Atlético CP,26,30,10,6,14,38,69,-31,a
11,,Farense,25,30,11,3,16,38,52,-14,a
12,,U. Tomar,23,30,9,5,16,39,59,-20,a
13,,Oriental,20,30,5,10,15,21,51,-30,a
14,,Académica OAF,20,30,7,6,17,33,47,-14,a
15,,Olhanense,17,30,6,5,19,41,70,-29,a
16,,SC Espinho,15,30,4,7,19,25,64,-39,a
