,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,77,34,24,5,5,75,38,37,a
2,,Benfica,68,34,20,8,6,62,29,33,a
3,,V. Guimarães,59,34,17,8,9,42,25,17,a
4,,Sporting,56,34,15,11,8,45,33,12,a
5,,Marítimo,56,34,16,8,10,44,35,9,a
6,,Boavista,55,34,15,10,9,54,31,23,a
7,,Est. Amadora,50,34,14,8,12,42,41,1,a
8,,SC Salgueiros,49,34,13,10,11,48,44,4,a
9,,Rio Ave,46,34,12,10,12,43,43,0,a
10,,SC Braga,45,34,11,12,11,48,49,-1,a
11,,Campomaiorense,40,34,11,7,16,53,58,-5,a
12,,Leça FC,38,34,10,8,16,29,52,-23,a
13,,V. Setúbal,37,34,10,7,17,38,43,-5,a
14,,Farense,37,34,8,13,13,41,50,-9,a
15,,Académica OAF,36,34,8,12,14,27,41,-14,a
16,,GD Chaves,35,34,10,5,19,31,55,-24,a
17,,Varzim,29,34,6,11,17,26,51,-25,a
18,,Belenenses,24,34,5,9,20,22,52,-30,a
