,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,41,26,20,1,5,92,40,52,a
2,,Benfica,41,26,19,3,4,84,35,49,a
3,,Belenenses,37,26,16,5,5,76,30,46,a
4,,Estoril Praia,36,26,16,4,6,91,49,42,a
5,,FC Porto,36,26,17,2,7,73,42,31,a
6,,Atlético CP,26,26,11,4,11,69,62,7,a
7,,O Elvas,24,26,11,2,13,66,63,3,a
8,,V. Guimarães,24,26,10,4,12,44,56,-12,a
9,,Boavista,20,26,9,2,15,40,65,-25,a
10,,V. Setúbal,19,26,8,3,15,38,64,-26,a
11,,Olhanense,17,26,5,7,14,48,66,-18,a
12,,Lusitano VRSA,17,26,7,3,16,29,78,-49,a
13,,SC Braga,16,26,6,4,16,47,69,-22,a
14,,Académica OAF,10,26,4,2,20,35,113,-78,a
