,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,45,26,21,3,2,86,33,53,a
2,,Sporting,39,26,19,1,6,91,35,56,a
3,,Atlético CP,30,26,11,8,7,53,42,11,a
4,,Belenenses,27,26,10,7,9,36,41,-5,a
5,,FC Porto,26,26,12,2,12,61,52,9,a
6,,SC Covilhã,25,26,10,5,11,55,70,-15,a
7,,Académica OAF,24,26,8,8,10,56,57,-1,a
8,,SC Braga,24,26,11,2,13,52,53,-1,a
9,,Olhanense,24,26,8,8,10,48,57,-9,a
10,,V. Setúbal,23,26,10,3,13,50,70,-20,a
11,,Estoril Praia,21,26,7,7,12,50,59,-9,a
12,,V. Guimarães,21,26,7,7,12,45,59,-14,a
13,,O Elvas,19,26,8,3,15,48,65,-17,a
14,,Lusitano VRSA,16,26,7,2,17,42,80,-38,a
