,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,82,34,25,7,2,63,19,44,a
2,,Benfica,74,34,22,8,4,62,28,34,a
3,,Sporting,73,34,23,4,7,60,33,27,a
4,,Nacional,56,34,17,5,12,56,35,21,a
5,,SC Braga,54,34,15,9,10,36,38,-2,a
6,,Marítimo,48,34,12,12,10,35,33,2,a
7,,Rio Ave,48,34,12,12,10,42,37,5,a
8,,Boavista,47,34,12,11,11,32,31,1,a
9,,Moreirense,46,34,12,10,12,33,33,0,a
10,,UD Leiria,45,34,11,12,11,43,45,-2,a
11,,Beira-Mar,41,34,11,8,15,36,45,-9,a
12,,Gil Vicente,40,34,10,10,14,43,40,3,a
13,,Académica OAF,38,34,11,5,18,40,42,-2,a
14,,V. Guimarães,37,34,9,10,15,31,40,-9,a
15,,Belenenses,35,34,8,11,15,35,54,-19,a
16,,FC Alverca,35,34,10,5,19,33,49,-16,a
17,,Paços de Ferreira,28,34,8,4,22,27,53,-26,a
18,,Est. Amadora,17,34,4,5,25,22,74,-52,a
