,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,75,34,22,9,3,74,25,49,a
2,,Boavista,70,34,21,7,6,53,20,33,a
3,,FC Porto,68,34,21,5,8,66,34,32,a
4,,Benfica,63,34,17,12,5,66,37,29,a
5,,Belenenses,57,34,17,6,11,54,44,10,a
6,,Marítimo,56,34,17,5,12,48,35,13,a
7,,UD Leiria,55,34,15,10,9,52,35,17,a
8,,Paços de Ferreira,46,34,12,10,12,41,44,-3,a
9,,SC Braga,42,34,10,12,12,43,43,0,a
10,,V. Guimarães,42,34,11,9,14,35,41,-6,a
11,,Beira-Mar,39,34,10,9,15,48,56,-8,a
12,,V. Setúbal,38,34,9,11,14,40,46,-6,a
13,,Gil Vicente,38,34,10,8,16,42,56,-14,a
14,,Santa Clara,37,34,9,10,15,32,46,-14,a
15,,Varzim,32,34,8,8,18,27,55,-28,a
16,,SC Salgueiros,30,34,8,6,20,29,71,-42,a
17,,Farense,28,34,7,7,20,29,63,-34,a
18,,FC Alverca,27,34,7,6,21,39,67,-28,a
