,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,46,26,21,4,1,61,17,44,a
2,,Benfica,38,26,17,4,5,58,14,44,a
3,,V. Setúbal,36,26,16,4,6,58,26,32,a
4,,Barreirense,28,26,11,6,9,42,33,9,a
5,,V. Guimarães,28,26,12,4,10,38,36,2,a
6,,Varzim,28,26,10,8,8,31,26,5,a
7,,Belenenses,23,26,9,5,12,23,34,-11,a
8,,CUF,23,26,9,5,12,24,38,-14,a
9,,FC Porto,22,26,8,6,12,30,37,-7,a
10,,Académica OAF,22,26,8,6,12,42,46,-4,a
11,,Leixões,21,26,10,1,15,33,47,-14,a
12,,Boavista,18,26,6,6,14,35,61,-26,a
13,,SC Braga,17,26,6,5,15,25,52,-27,a
14,,U. Tomar,14,26,5,4,17,20,53,-33,a
