,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,62,34,29,4,1,73,15,58,a
2,,Sporting,55,34,23,9,2,59,21,38,a
3,,Benfica,47,34,21,5,8,60,30,30,a
4,,V. Guimarães,42,34,16,10,8,54,43,11,a
5,,Farense,37,34,16,5,13,44,38,6,a
6,,UD Leiria,36,34,13,10,11,41,44,-3,a
7,,Marítimo,35,34,12,11,11,41,45,-4,a
8,,Tirsense,34,34,14,6,14,35,34,1,a
9,,SC Braga,32,34,11,10,13,34,42,-8,a
10,,Boavista,32,34,12,8,14,40,49,-9,a
11,,SC Salgueiros,29,34,11,7,16,43,50,-7,a
12,,Belenenses,27,34,10,7,17,30,39,-9,a
13,,Gil Vicente,27,34,7,13,14,30,40,-10,a
14,,GD Chaves,27,34,10,7,17,33,49,-16,a
15,,Est. Amadora,26,34,6,14,14,27,40,-13,a
16,,União Madeira,24,34,7,10,17,30,54,-24,a
17,,Beira-Mar,21,34,8,5,21,33,54,-21,a
18,,V. Setúbal,19,34,3,13,18,25,45,-20,a
