,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,41,26,17,7,2,81,22,59,a
2,,Benfica,41,26,17,7,2,78,20,58,a
3,,Belenenses,38,26,16,6,4,65,27,38,a
4,,Sporting,31,26,12,7,7,50,28,22,a
5,,V. Guimarães,29,26,13,3,10,59,55,4,a
6,,V. Setúbal,27,26,11,5,10,53,64,-11,a
7,,SC Braga,24,26,9,6,11,48,51,-3,a
8,,SC Covilhã,22,26,9,4,13,43,65,-22,a
9,,Lusit. Évora,21,26,8,5,13,40,49,-9,a
10,,Académica OAF,21,26,8,5,13,45,46,-1,a
11,,CUF,21,26,8,5,13,34,55,-21,a
12,,Barreirense,17,26,7,3,16,39,62,-23,a
13,,Caldas SC,16,26,5,6,15,33,76,-43,a
14,,Torreense,15,26,5,5,16,23,71,-48,a
