,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,55,30,26,3,1,78,13,65,a
2,,Sporting,47,30,19,9,2,72,26,46,a
3,,Benfica,43,30,18,7,5,65,28,37,a
4,,Boavista,37,30,13,11,6,37,26,11,a
5,,Portimonense,36,30,14,8,8,51,41,10,a
6,,Belenenses,30,30,11,8,11,40,46,-6,a
7,,Académica OAF,29,30,12,5,13,45,47,-2,a
8,,SC Braga,28,30,9,10,11,46,43,3,a
9,,V. Guimarães,25,30,9,7,14,33,39,-6,a
10,,V. Setúbal,25,30,7,11,12,35,50,-15,a
11,,FC Penafiel,25,30,7,11,12,25,42,-17,a
12,,SC Salgueiros,23,30,8,7,15,40,56,-16,a
13,,Rio Ave,23,30,7,9,14,27,43,-16,a
14,,Farense,22,30,7,8,15,21,49,-28,a
15,,Varzim,17,30,2,13,15,23,49,-26,a
16,,FC Vizela,15,30,4,7,19,31,71,-40,a
