,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,46,26,22,2,2,92,21,71,a
2,,Sporting,42,26,19,4,3,61,19,42,a
3,,FC Porto,33,26,14,5,7,51,28,23,a
4,,V. Guimarães,30,26,14,2,10,48,44,4,a
5,,Belenenses,28,26,12,4,10,45,37,8,a
6,,CUF,26,26,10,6,10,38,28,10,a
7,,Académica OAF,26,26,10,6,10,31,29,2,a
8,,Leixões,23,26,10,3,13,38,44,-6,a
9,,SC Covilhã,21,26,8,5,13,27,55,-28,a
10,,Atlético CP,21,26,8,5,13,35,54,-19,a
11,,Lusit. Évora,21,26,9,3,14,29,51,-22,a
12,,SC Salgueiros,20,26,8,4,14,34,64,-30,a
13,,SC Braga,19,26,8,3,15,41,62,-21,a
14,,Barreirense,8,26,3,2,21,26,60,-34,a
