,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,59,34,27,5,2,72,16,56,a
2,,Benfica,55,34,23,9,2,76,18,58,a
3,,Sporting,46,34,17,12,5,42,24,18,a
4,,V. Guimarães,45,34,17,11,6,46,28,18,a
5,,GD Chaves,38,34,12,14,8,38,38,0,a
6,,V. Setúbal,36,34,14,8,12,39,34,5,a
7,,Belenenses,36,34,16,4,14,32,33,-1,a
8,,Boavista,34,34,13,8,13,49,36,13,a
9,,Tirsense,30,34,7,16,11,21,32,-11,a
10,,Marítimo,29,34,7,15,12,25,38,-13,a
11,,Beira-Mar,29,34,10,9,15,22,39,-17,a
12,,Est. Amadora,28,34,10,8,16,35,34,1,a
13,,SC Braga,28,34,8,12,14,32,41,-9,a
14,,Nacional,28,34,7,14,13,34,46,-12,a
15,,FC Penafiel,26,34,9,8,17,24,50,-26,a
16,,União Madeira,24,34,5,14,15,24,45,-21,a
17,,Portimonense,21,34,7,7,20,30,57,-27,a
18,,Feirense,20,34,5,10,19,25,57,-32,a
