,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,50,30,22,6,2,72,15,57,a
2,,FC Porto,48,30,21,6,3,53,18,35,a
3,,Sporting,37,30,14,9,7,48,28,20,a
4,,Boavista,36,30,14,8,8,36,25,11,a
5,,V. Guimarães,31,30,11,9,10,38,30,8,a
6,,SC Braga,30,30,10,10,10,34,39,-5,a
7,,V. Setúbal,29,30,9,11,10,30,30,0,a
8,,Portimonense,28,30,11,6,13,34,37,-3,a
9,,SC Espinho,27,30,9,9,12,26,35,-9,a
10,,FC Penafiel,27,30,11,5,14,27,38,-11,a
11,,Belenenses,26,30,8,10,12,24,39,-15,a
12,,Amora FC,25,30,10,5,15,38,51,-13,a
13,,Académico de Viseu,25,30,8,9,13,24,40,-16,a
14,,Varzim,24,30,8,8,14,27,31,-4,a
15,,Marítimo,23,30,7,9,14,33,46,-13,a
16,,Académica OAF,14,30,4,6,20,16,58,-42,a
