,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,47,26,23,1,2,123,40,83,a
2,,Benfica,41,26,20,1,5,99,47,52,a
3,,Belenenses,33,26,14,5,7,66,31,35,a
4,,FC Porto,33,26,15,3,8,73,45,28,a
5,,Estoril Praia,33,26,16,1,9,96,55,41,a
6,,Olhanense,26,26,11,4,11,69,73,-4,a
7,,Atlético CP,25,26,11,3,12,56,61,-5,a
8,,V. Guimarães,24,26,8,8,10,54,54,0,a
9,,Boavista,20,26,7,6,13,52,74,-22,a
10,,SL Elvas,20,26,9,2,15,65,89,-24,a
11,,Académica OAF,20,26,8,4,14,49,96,-47,a
12,,V. Setúbal,20,26,8,4,14,45,50,-5,a
13,,FC Famalicão,17,26,7,3,16,60,100,-40,a
14,,AD Sanjoanense,5,26,2,1,23,26,118,-92,a
