,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,84,30,27,3,0,73,16,57,a
2,,Benfica,63,30,20,3,7,61,31,30,a
3,,Sporting,48,30,13,9,8,41,31,10,a
4,,SC Braga,46,30,13,7,10,45,33,12,a
5,,V. Guimarães,43,30,12,7,11,36,37,-1,a
6,,Nacional,42,30,11,9,10,28,31,-3,a
7,,Paços de Ferreira,41,30,10,11,9,35,42,-7,a
8,,Rio Ave,38,30,10,8,12,35,33,2,a
9,,Marítimo,35,30,9,8,13,33,32,1,a
10,,UD Leiria,35,30,9,8,13,25,38,-13,a
11,,Olhanense,34,30,7,13,10,24,34,-10,a
12,,V. Setúbal,34,30,8,10,12,29,42,-13,a
13,,Beira-Mar,33,30,7,12,11,32,36,-4,a
14,,Académica OAF,30,30,7,9,14,32,48,-16,a
15,,Portimonense,25,30,6,7,17,29,49,-20,a
16,,Naval,23,30,5,8,17,26,51,-25,a
