,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,54,34,24,6,4,59,17,42,a
2,,Benfica,52,34,22,8,4,60,18,42,a
3,,Sporting,45,34,17,11,6,59,30,29,a
4,,Boavista,39,34,14,11,9,46,34,12,a
5,,Marítimo,37,34,15,7,12,56,48,8,a
6,,Farense,35,34,11,13,10,41,36,5,a
7,,Belenenses,34,34,11,12,11,42,40,2,a
8,,Beira-Mar,32,34,10,12,12,24,33,-9,a
9,,Gil Vicente,31,34,12,7,15,34,42,-8,a
10,,Paços de Ferreira,31,34,10,11,13,35,44,-9,a
11,,V. Guimarães,31,34,14,3,17,41,53,-12,a
12,,SC Braga,30,34,12,6,16,33,34,-1,a
13,,Estoril Praia,30,34,9,12,13,29,41,-12,a
14,,FC Famalicão,30,34,10,10,14,29,48,-19,a
15,,SC Salgueiros,29,34,10,9,15,28,44,-16,a
16,,Tirsense,28,34,10,8,16,27,37,-10,a
17,,SC Espinho,28,34,9,10,15,38,55,-17,a
18,,GD Chaves,16,34,4,8,22,34,61,-27,a
