,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,63,38,27,9,2,60,15,45,a
2,,FC Porto,56,38,21,14,3,52,17,35,a
3,,Boavista,49,38,19,11,8,56,29,27,a
4,,Sporting,45,38,18,9,11,50,33,17,a
5,,V. Setúbal,42,38,15,12,11,44,37,7,a
6,,Belenenses,40,38,13,14,11,44,35,9,a
7,,SC Braga,40,38,14,12,12,42,37,5,a
8,,Est. Amadora,39,38,13,13,12,33,41,-8,a
9,,V. Guimarães,38,38,14,10,14,39,33,6,a
10,,Nacional,36,38,12,12,14,43,49,-6,a
11,,Marítimo,35,38,10,15,13,40,41,-1,a
12,,Portimonense,35,38,12,11,15,33,37,-4,a
13,,GD Chaves,34,38,12,10,16,37,41,-4,a
14,,FC Penafiel,33,38,10,13,15,32,39,-7,a
15,,Beira-Mar,33,38,10,13,15,29,36,-7,a
16,,SC Espinho,32,38,12,8,18,45,57,-12,a
17,,Fafe,32,38,9,14,15,29,47,-18,a
18,,Farense,31,38,10,11,17,34,51,-17,a
19,,Leixões,28,38,7,14,17,29,46,-17,a
20,,Académico de Viseu,19,38,5,9,24,20,70,-50,a
