,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,42,26,18,6,2,70,21,49,a
2,,Benfica,41,26,18,5,3,73,30,43,a
3,,FC Porto,34,26,14,6,6,41,25,16,a
4,,V. Guimarães,33,26,14,5,7,58,47,11,a
5,,V. Setúbal,29,26,11,7,8,51,36,15,a
6,,Académica OAF,26,26,9,8,9,58,48,10,a
7,,Belenenses,25,26,9,7,10,28,29,-1,a
8,,Varzim,25,26,9,7,10,40,38,2,a
9,,CUF,24,26,8,8,10,37,46,-9,a
10,,SC Braga,21,26,7,7,12,39,64,-25,a
11,,Beira-Mar,18,26,6,6,14,31,65,-34,a
12,,Leixões,18,26,7,4,15,28,39,-11,a
13,,Lusit. Évora,14,26,4,6,16,27,60,-33,a
14,,Barreirense,14,26,5,4,17,32,65,-33,a
