,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,43,26,20,3,3,64,19,45,a
2,,Académica OAF,40,26,18,4,4,50,18,32,a
3,,FC Porto,39,26,17,5,4,56,22,34,a
4,,Sporting,30,26,11,8,7,36,24,12,a
5,,V. Setúbal,27,26,10,7,9,27,25,2,a
6,,V. Guimarães,26,26,11,4,11,35,40,-5,a
7,,Leixões,24,26,8,8,10,23,29,-6,a
8,,SC Braga,23,26,9,5,12,33,33,0,a
9,,CUF,23,26,9,5,12,27,43,-16,a
10,,Varzim,22,26,8,6,12,29,42,-13,a
11,,Belenenses,20,26,7,6,13,26,34,-8,a
12,,Sanjoanense,19,26,4,11,11,23,39,-16,a
13,,Atlético CP,14,26,5,4,17,29,55,-26,a
14,,Beira-Mar,14,26,5,4,17,23,58,-35,a
