,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,41,26,18,5,3,62,17,45,a
2,,Sporting,38,26,16,6,4,45,14,31,a
3,,FC Porto,37,26,16,5,5,44,21,23,a
4,,V. Setúbal,34,26,15,4,7,51,16,35,a
5,,Académica OAF,33,26,13,7,6,38,24,14,a
6,,Boavista,22,26,9,4,13,18,38,-20,a
7,,Belenenses,22,26,7,8,11,20,27,-7,a
8,,CUF,21,26,8,5,13,28,37,-9,a
9,,Tirsense,20,26,6,8,12,24,45,-21,a
10,,Barreirense,20,26,5,10,11,21,31,-10,a
11,,Farense,20,26,7,6,13,15,33,-18,a
12,,V. Guimarães,19,26,4,11,11,15,27,-12,a
13,,Leixões,19,26,7,5,14,22,44,-22,a
14,,Varzim,18,26,7,4,15,23,52,-29,a
