,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,75,30,23,6,1,69,19,50,a
2,,Benfica,69,30,21,6,3,66,27,39,a
3,,SC Braga,62,30,19,5,6,59,29,30,a
4,,Sporting,59,30,18,5,7,47,26,21,a
5,,Marítimo,50,30,14,8,8,41,38,3,a
6,,V. Guimarães,45,30,14,3,13,40,40,0,a
7,,Nacional,44,30,13,5,12,48,50,-2,a
8,,Olhanense,39,30,9,12,9,36,38,-2,a
9,,Gil Vicente,34,30,8,10,12,31,42,-11,a
10,,Paços de Ferreira,31,30,8,7,15,35,53,-18,a
11,,V. Setúbal,30,30,8,6,16,24,49,-25,a
12,,Beira-Mar,29,30,8,5,17,26,38,-12,a
13,,Académica OAF,29,30,7,8,15,27,38,-11,a
14,,Rio Ave,28,30,7,7,16,33,42,-9,a
15,,Feirense,24,30,5,9,16,27,49,-22,a
16,,UD Leiria,19,30,5,4,21,25,56,-31,a
