,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,52,30,24,4,2,86,22,64,a
2,,FC Porto,49,30,22,5,3,65,9,56,a
3,,Sporting,42,30,19,4,7,58,24,34,a
4,,SC Braga,37,30,15,7,8,40,32,8,a
5,,V. Setúbal,34,30,13,8,9,43,28,15,a
6,,V. Guimarães,31,30,14,3,13,41,41,0,a
7,,Boavista,31,30,12,7,11,36,31,5,a
8,,Varzim,29,30,10,9,11,32,39,-7,a
9,,Rio Ave,29,30,11,7,12,35,35,0,a
10,,Portimonense,26,30,10,6,14,27,37,-10,a
11,,SC Salgueiros,21,30,6,9,15,23,41,-18,a
12,,Farense,21,30,5,11,14,29,54,-25,a
13,,FC Penafiel,21,30,7,7,16,18,55,-37,a
14,,Estoril Praia,21,30,6,9,15,22,51,-29,a
15,,RD Águeda,19,30,7,5,18,25,55,-30,a
16,,SC Espinho,17,30,5,7,18,19,45,-26,a
