,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,41,26,19,3,4,91,32,59,a
2,,Benfica,40,26,18,4,4,76,26,50,a
3,,FC Porto,36,26,15,6,5,68,33,35,a
4,,Belenenses,36,26,14,8,4,60,28,32,a
5,,Boavista,25,26,12,1,13,47,55,-8,a
6,,SC Covilhã,25,26,10,5,11,35,52,-17,a
7,,Académica OAF,22,26,8,6,12,39,47,-8,a
8,,SC Braga,21,26,8,5,13,32,49,-17,a
9,,Estoril Praia,21,26,8,5,13,49,61,-12,a
10,,V. Guimarães,21,26,9,3,14,28,47,-19,a
11,,Barreirense,21,26,8,5,13,47,65,-18,a
12,,Atlético CP,20,26,7,6,13,53,48,5,a
13,,Oriental,18,26,8,2,16,48,72,-24,a
14,,SC Salgueiros,17,26,8,1,17,33,91,-58,a
