,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,82,34,25,7,2,72,18,54,a
2,,FC Porto,76,34,22,10,2,71,19,52,a
3,,Sporting,70,34,21,7,6,68,36,32,a
4,,V. Guimarães,62,34,18,8,8,50,39,11,a
5,,SC Braga,54,34,15,9,10,51,36,15,a
6,,Marítimo,50,34,13,11,10,34,32,2,a
7,,Rio Ave,49,34,14,7,13,41,39,2,a
8,,Feirense,48,34,14,6,14,31,45,-14,a
9,,Boavista,43,34,10,13,11,33,36,-3,a
10,,Estoril Praia,38,34,10,8,16,36,42,-6,a
11,,GD Chaves,38,34,8,14,12,35,42,-7,a
12,,V. Setúbal,38,34,10,8,16,30,39,-9,a
13,,Paços de Ferreira,36,34,8,12,14,32,45,-13,a
14,,Belenenses,36,34,9,9,16,27,45,-18,a
15,,Moreirense,33,34,8,9,17,33,48,-15,a
16,,CD Tondela,32,34,8,8,18,29,52,-23,a
17,,FC Arouca,32,34,9,5,20,33,57,-24,a
18,,Nacional,21,34,4,9,21,22,58,-36,a
