,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,43,26,20,3,3,80,25,55,a
2,,FC Porto,36,26,16,4,6,83,35,48,a
3,,Benfica,32,26,13,6,7,62,40,22,a
4,,Belenenses,31,26,13,5,8,43,39,4,a
5,,SC Braga,28,26,12,4,10,54,36,18,a
6,,Atlético CP,28,26,10,8,8,49,43,6,a
7,,SC Covilhã,28,26,10,8,8,43,39,4,a
8,,V. Guimarães,25,26,10,5,11,44,64,-20,a
9,,Barreirense,22,26,8,6,12,34,47,-13,a
10,,Lusit. Évora,21,26,9,3,14,47,66,-19,a
11,,Boavista,19,26,7,5,14,29,66,-37,a
12,,V. Setúbal,18,26,7,4,15,51,66,-15,a
13,,Académica OAF,18,26,8,2,16,29,50,-21,a
14,,Oriental,15,26,4,7,15,35,67,-32,a
