,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,43,26,19,5,2,88,21,67,a
2,,FC Porto,37,26,17,3,6,47,27,20,a
3,,CUF,35,26,15,5,6,49,29,20,a
4,,Académica OAF,34,26,16,2,8,58,40,18,a
5,,Sporting,32,26,12,8,6,39,35,4,a
6,,V. Setúbal,32,26,15,2,9,61,30,31,a
7,,V. Guimarães,29,26,12,5,9,44,36,8,a
8,,Belenenses,26,26,12,2,12,39,40,-1,a
9,,Leixões,21,26,8,5,13,50,51,-1,a
10,,SC Braga,20,26,8,4,14,36,51,-15,a
11,,Varzim,20,26,8,4,14,39,55,-16,a
12,,Lusit. Évora,20,26,9,2,15,30,51,-21,a
13,,Seixal FC,8,26,3,2,21,16,84,-68,a
14,,Torreense,7,26,3,1,22,18,64,-46,a
