,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,69,30,22,3,5,65,20,45,a
2,,Sporting,68,30,20,8,2,54,15,39,a
3,,Benfica,67,30,20,7,3,55,20,35,a
4,,SC Braga,50,30,14,8,8,35,30,5,a
5,,Belenenses,49,30,15,4,11,36,29,7,a
6,,Paços de Ferreira,42,30,10,12,8,31,36,-5,a
7,,UD Leiria,41,30,10,11,9,25,27,-2,a
8,,Nacional,39,30,11,6,13,41,38,3,a
9,,Est. Amadora,35,30,9,8,13,23,36,-13,a
10,,Boavista,35,30,8,11,11,32,34,-2,a
11,,Marítimo,32,30,8,8,14,30,44,-14,a
12,,Naval,32,30,7,11,12,28,37,-9,a
13,,Académica OAF,26,30,6,8,16,28,46,-18,a
14,,V. Setúbal,24,30,5,9,16,21,45,-24,a
15,,Beira-Mar,23,30,4,11,15,28,55,-27,a
16,,CD Aves,22,30,5,7,18,22,42,-20,a
