,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,85,34,27,4,3,86,16,70,a
2,,FC Porto,82,34,25,7,2,74,13,61,a
3,,Sporting,76,34,22,10,2,67,29,38,a
4,,SC Braga,58,34,17,7,10,55,28,27,a
5,,V. Guimarães,55,34,15,10,9,50,35,15,a
6,,Belenenses,48,34,12,12,10,34,35,-1,a
7,,Nacional,47,34,13,8,13,45,46,-1,a
8,,Paços de Ferreira,47,34,12,11,11,40,45,-5,a
9,,Marítimo,44,34,12,8,14,46,45,1,a
10,,Rio Ave,43,34,10,13,11,38,42,-4,a
11,,Moreirense,43,34,11,10,13,33,42,-9,a
12,,Estoril Praia,40,34,9,13,12,38,56,-18,a
13,,Boavista,34,34,9,7,18,27,50,-23,a
14,,V. Setúbal,29,34,7,8,19,24,56,-32,a
15,,Académica OAF,29,34,4,17,13,26,46,-20,a
16,,FC Arouca,28,34,7,7,20,26,50,-24,a
17,,Gil Vicente,23,34,4,11,19,25,60,-35,a
18,,FC Penafiel,22,34,5,7,22,29,69,-40,a
