,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,76,30,24,4,2,78,20,58,a
2,,SC Braga,71,30,22,5,3,48,20,28,a
3,,FC Porto,68,30,21,5,4,70,26,44,a
4,,Sporting,48,30,13,9,8,42,26,16,a
5,,Marítimo,41,30,11,8,11,42,43,-1,a
6,,V. Guimarães,41,30,11,8,11,31,34,-3,a
7,,Nacional,39,30,10,9,11,36,46,-10,a
8,,Naval,36,30,10,6,14,20,35,-15,a
9,,UD Leiria,35,30,9,8,13,35,41,-6,a
10,,Paços de Ferreira,35,30,8,11,11,32,37,-5,a
11,,Académica OAF,33,30,8,9,13,37,42,-5,a
12,,Rio Ave,31,30,6,13,11,22,33,-11,a
13,,Olhanense,29,30,5,14,11,31,46,-15,a
14,,V. Setúbal,25,30,5,10,15,29,57,-28,a
15,,Belenenses,23,30,4,11,15,23,44,-21,a
16,,Leixões,21,30,5,6,19,25,51,-26,a
