,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,65,34,19,8,7,51,31,20,a
2,,FC Porto,62,34,17,11,6,39,26,13,a
3,,Sporting,61,34,18,7,9,66,36,30,a
4,,SC Braga,58,34,16,10,8,45,28,17,a
5,,V. Guimarães,54,34,15,9,10,38,29,9,a
6,,Boavista,50,34,13,11,10,39,43,-4,a
7,,Marítimo,49,34,12,13,9,39,32,7,a
8,,Rio Ave,47,34,10,17,7,35,35,0,a
9,,Belenenses,46,34,13,7,14,38,34,4,a
10,,V. Setúbal,44,34,11,11,12,46,45,1,a
11,,FC Penafiel,43,34,13,4,17,39,53,-14,a
12,,Nacional,41,34,12,5,17,46,48,-2,a
13,,Gil Vicente,40,34,11,7,16,34,40,-6,a
14,,Académica OAF,38,34,9,11,14,29,41,-12,a
15,,UD Leiria,38,34,8,14,12,29,36,-7,a
16,,Moreirense,34,34,7,13,14,30,43,-13,a
17,,Estoril Praia,30,34,8,6,20,38,55,-17,a
18,,Beira-Mar,30,34,6,12,16,30,56,-26,a
