,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,38,22,19,0,3,74,34,40,a
2,,Sporting,34,22,17,0,5,93,31,62,a
3,,Belenenses,30,22,12,6,4,66,32,34,a
4,,FC Porto,28,22,13,2,7,77,48,29,a
5,,Académica OAF,26,22,13,0,9,77,51,26,a
6,,Barreirense,25,22,11,3,8,58,55,3,a
7,,Unidos de Lisboa,18,22,7,4,11,53,49,4,a
8,,Carcavelinhos,14,22,5,4,13,35,73,-38,a
9,,Olhanense,14,22,6,2,14,42,83,-41,a
10,,Académico FC,13,22,6,1,15,48,81,-33,a
11,,V. Guimarães,13,22,6,1,15,43,76,-33,a
12,,Leça FC,11,22,5,1,16,29,82,-53,a
