,,,P,J,V,E,D,GM,GS,DG,
1,,Belenenses,38,22,18,2,2,74,24,50,a
2,,Benfica,37,22,17,3,2,82,29,53,a
3,,Sporting,32,22,15,2,5,73,36,37,a
4,,Olhanense,27,22,13,1,8,65,39,26,a
5,,Atlético CP,21,22,8,5,9,38,55,-17,a
6,,FC Porto,20,22,9,2,11,65,44,21,a
7,,V. Setúbal,18,22,8,2,12,47,59,-12,a
8,,V. Guimarães,18,22,8,2,12,39,52,-13,a
9,,SL Elvas,17,22,8,1,13,43,78,-35,a
10,,Académica OAF,16,22,7,2,13,51,76,-25,a
11,,Boavista,12,22,6,0,16,39,73,-34,a
12,,UD Oliveirense,8,22,3,2,17,22,73,-51,a
