,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,46,30,19,8,3,66,26,40,a
2,,Benfica,44,30,20,4,6,60,22,38,a
3,,FC Porto,43,30,17,9,4,46,17,29,a
4,,V. Guimarães,38,30,13,12,5,42,22,20,a
5,,Rio Ave,34,30,13,8,9,26,31,-5,a
6,,Portimonense,32,30,12,8,10,35,24,11,a
7,,SC Braga,30,30,11,8,11,34,42,-8,a
8,,V. Setúbal,28,30,9,10,11,30,35,-5,a
9,,Boavista,26,30,10,6,14,36,37,-1,a
10,,SC Espinho,25,30,7,11,12,32,42,-10,a
11,,Amora FC,24,30,6,12,12,29,37,-8,a
12,,Estoril Praia,24,30,7,10,13,30,41,-11,a
13,,FC Penafiel,23,30,9,5,16,20,37,-17,a
14,,Académico de Viseu,23,30,9,5,16,24,52,-28,a
15,,Belenenses,20,30,5,10,15,28,48,-20,a
16,,UD Leiria,20,30,8,4,18,25,50,-25,a
