,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,43,26,18,7,1,77,20,57,a
2,,Benfica,43,26,19,5,2,76,31,45,a
3,,Belenenses,37,26,16,5,5,67,25,42,a
4,,Sporting,36,26,15,6,5,54,27,27,a
5,,SC Covilhã,29,26,11,7,8,52,44,8,a
6,,Barreirense,23,26,8,7,11,40,60,-20,a
7,,Torreense,22,26,7,8,11,32,42,-10,a
8,,Lusit. Évora,21,26,6,9,11,38,55,-17,a
9,,V. Setúbal,20,26,7,6,13,57,64,-7,a
10,,CUF,20,26,6,8,12,33,58,-25,a
11,,Caldas SC,19,26,6,7,13,29,50,-21,a
12,,Atlético CP,19,26,6,7,13,47,62,-15,a
13,,Académica OAF,19,26,8,3,15,36,52,-16,a
14,,SC Braga,13,26,5,3,18,36,84,-48,a
