,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,50,30,23,4,3,94,20,74,a
2,,Boavista,48,30,21,6,3,65,23,42,a
3,,Belenenses,40,30,16,8,6,45,28,17,a
4,,FC Porto,39,30,16,7,7,73,33,40,a
5,,Sporting,38,30,16,6,8,54,31,23,a
6,,V. Guimarães,36,30,13,10,7,49,32,17,a
7,,SC Braga,28,30,9,10,11,35,43,-8,a
8,,Estoril Praia,28,30,10,8,12,31,45,-14,a
9,,V. Setúbal,26,30,8,10,12,39,42,-3,a
10,,Académica OAF,23,30,7,9,14,32,47,-15,a
11,,Atlético CP,23,30,9,5,16,26,49,-23,a
12,,Leixões,22,30,8,6,16,30,65,-35,a
13,,Beira-Mar,21,30,6,9,15,28,47,-19,a
14,,U. Tomar,21,30,7,7,16,32,61,-29,a
15,,Farense,19,30,8,3,19,33,65,-32,a
16,,CUF,18,30,4,10,16,15,50,-35,a
