,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,49,30,23,3,4,96,21,75,a
2,,Benfica,47,30,21,5,4,68,23,45,a
3,,V. Setúbal,45,30,19,7,4,69,21,48,a
4,,FC Porto,43,30,18,7,5,43,22,21,a
5,,Belenenses,40,30,17,6,7,56,34,22,a
6,,V. Guimarães,31,30,10,11,9,36,34,2,a
7,,Farense,26,30,9,8,13,35,38,-3,a
8,,CUF,25,30,8,9,13,33,44,-11,a
9,,Boavista,25,30,9,7,14,35,43,-8,a
10,,Académica OAF,23,30,8,7,15,29,45,-16,a
11,,Olhanense,22,30,8,6,16,35,69,-34,a
12,,Oriental,21,30,10,1,19,35,79,-44,a
13,,Beira-Mar,21,30,7,7,16,34,59,-25,a
14,,Leixões,21,30,9,3,18,36,56,-20,a
15,,Barreirense,21,30,6,9,15,19,42,-23,a
16,,Montijo,20,30,7,6,17,32,61,-29,a
