,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,39,26,18,3,5,61,20,41,a
2,,Belenenses,39,26,17,5,4,63,28,35,a
3,,Sporting,37,26,15,7,4,73,27,46,a
4,,FC Porto,30,26,12,6,8,51,34,17,a
5,,SC Braga,29,26,12,5,9,52,42,10,a
6,,Académica OAF,25,26,10,5,11,53,52,1,a
7,,CUF,25,26,10,5,11,45,52,-7,a
8,,V. Setúbal,22,26,8,6,12,37,52,-15,a
9,,Atlético CP,22,26,9,4,13,42,52,-10,a
10,,Lusit. Évora,21,26,9,3,14,40,70,-30,a
11,,Barreirense,20,26,7,6,13,25,38,-13,a
12,,SC Covilhã,20,26,8,4,14,32,53,-21,a
13,,Boavista,18,26,7,4,15,33,71,-38,a
14,,V. Guimarães,17,26,5,7,14,33,49,-16,a
