,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,41,26,18,5,3,75,19,56,a
2,,Sporting,37,26,17,3,6,48,24,24,a
3,,FC Porto,36,26,16,4,6,60,24,36,a
4,,Académica OAF,35,26,15,5,6,53,24,29,a
5,,V. Setúbal,34,26,14,6,6,43,20,23,a
6,,V. Guimarães,27,26,12,3,11,31,34,-3,a
7,,Belenenses,25,26,10,5,11,38,40,-2,a
8,,Leixões,24,26,10,4,12,29,39,-10,a
9,,CUF,21,26,7,7,12,28,37,-9,a
10,,Sanjoanense,21,26,7,7,12,22,40,-18,a
11,,SC Braga,21,26,9,3,14,29,48,-19,a
12,,Varzim,17,26,7,3,16,27,50,-23,a
13,,Tirsense,15,26,5,5,16,17,53,-36,a
14,,Barreirense,10,26,3,4,19,24,72,-48,a
