,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,88,34,29,1,4,88,22,66,a
2,,Sporting,86,34,27,5,2,79,21,58,a
3,,FC Porto,73,34,23,4,7,67,30,37,a
4,,SC Braga,58,34,16,10,8,54,35,19,a
5,,FC Arouca,54,34,13,15,6,47,38,9,a
6,,Rio Ave,50,34,14,8,12,44,44,0,a
7,,Paços de Ferreira,49,34,13,10,11,43,42,1,a
8,,Estoril Praia,47,34,13,8,13,40,41,-1,a
9,,Belenenses,41,34,10,11,13,44,66,-22,a
10,,V. Guimarães,40,34,9,13,12,45,53,-8,a
11,,Nacional,38,34,10,8,16,40,56,-16,a
12,,Moreirense,36,34,9,9,16,38,54,-16,a
13,,Marítimo,35,34,10,5,19,45,63,-18,a
14,,Boavista,33,34,8,9,17,24,41,-17,a
15,,V. Setúbal,30,34,6,12,16,40,61,-21,a
16,,CD Tondela,30,34,8,6,20,34,54,-20,a
17,,União Madeira,29,34,7,8,19,27,50,-23,a
18,,Académica OAF,25,34,5,10,19,32,60,-28,a
