,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,51,30,22,7,1,67,13,54,a
2,,FC Porto,47,30,20,7,3,73,18,55,a
3,,Sporting,42,30,18,6,6,48,25,23,a
4,,V. Guimarães,32,30,11,10,9,35,24,11,a
5,,Boavista,30,30,12,6,12,32,38,-6,a
6,,SC Braga,29,30,13,3,14,41,43,-2,a
7,,V. Setúbal,29,30,12,5,13,29,33,-4,a
8,,Rio Ave,29,30,13,3,14,43,45,-2,a
9,,Portimonense,29,30,11,7,12,35,31,4,a
10,,SC Salgueiros,27,30,9,9,12,26,36,-10,a
11,,Estoril Praia,26,30,9,8,13,26,39,-13,a
12,,Varzim,26,30,8,10,12,23,39,-16,a
13,,SC Espinho,25,30,9,7,14,23,37,-14,a
14,,Marítimo,25,30,8,9,13,26,38,-12,a
15,,Amora FC,18,30,6,6,18,23,55,-32,a
16,,Ginásio de Alcobaça,15,30,4,7,19,20,56,-36,a
