,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,88,34,28,4,2,82,18,64,a
2,,Benfica,81,34,25,6,3,80,22,58,a
3,,Sporting,78,34,24,6,4,63,24,39,a
4,,SC Braga,75,34,24,3,7,74,29,45,a
5,,Rio Ave,51,34,15,6,13,40,42,-2,a
6,,GD Chaves,47,34,13,8,13,47,55,-8,a
7,,Marítimo,47,34,13,8,13,36,49,-13,a
8,,Boavista,45,34,13,6,15,35,44,-9,a
9,,V. Guimarães,43,34,13,4,17,45,56,-11,a
10,,Portimonense,38,34,10,8,16,52,60,-8,a
11,,CD Tondela,38,34,10,8,16,41,50,-9,a
12,,Belenenses,37,34,9,10,15,33,46,-13,a
13,,CD Aves,34,34,9,7,18,36,51,-15,a
14,,V. Setúbal,32,34,7,11,16,39,62,-23,a
15,,Moreirense,32,34,8,8,18,29,50,-21,a
16,,Feirense,31,34,9,4,21,32,48,-16,a
17,,Paços de Ferreira,30,34,7,9,18,33,59,-26,a
18,,Estoril Praia,30,34,8,6,20,29,61,-32,a
