,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,24,14,12,0,2,57,13,44,a
2,,Belenenses,23,14,11,1,2,46,17,29,a
3,,Sporting,20,14,9,2,3,54,25,29,a
4,,FC Porto,14,14,6,2,6,31,31,0,a
5,,Académica OAF,11,14,5,1,8,24,30,-6,a
6,,Carcavelinhos,9,14,4,1,9,16,35,-19,a
7,,V. Setúbal,7,14,3,1,10,18,45,-27,a
8,,Leixões,4,14,2,0,12,19,69,-50,a
