,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,74,30,23,5,2,58,18,40,a
2,,Sporting,67,30,20,7,3,54,20,34,a
3,,FC Porto,61,30,19,4,7,57,25,32,a
4,,Estoril Praia,54,30,15,9,6,42,26,16,a
5,,Nacional,45,30,11,12,7,43,33,10,a
6,,Marítimo,41,30,11,8,11,40,44,-4,a
7,,V. Setúbal,39,30,10,9,11,41,41,0,a
8,,Académica OAF,37,30,9,10,11,25,35,-10,a
9,,SC Braga,37,30,10,7,13,39,37,2,a
10,,V. Guimarães,35,30,10,5,15,30,35,-5,a
11,,Rio Ave,32,30,8,8,14,21,35,-14,a
12,,FC Arouca,31,30,8,7,15,28,42,-14,a
13,,Gil Vicente,31,30,8,7,15,23,37,-14,a
14,,Belenenses,28,30,6,10,14,19,33,-14,a
15,,Paços de Ferreira,24,30,6,6,18,28,59,-31,a
16,,Olhanense,24,30,6,6,18,21,49,-28,a
