,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,52,30,24,4,2,67,17,50,a
2,,FC Porto,50,30,22,6,2,59,9,50,a
3,,Benfica,45,30,19,7,4,79,21,58,a
4,,Boavista,37,30,15,7,8,44,30,14,a
5,,Belenenses,34,30,13,8,9,33,38,-5,a
6,,V. Guimarães,32,30,11,10,9,42,38,4,a
7,,SC Espinho,28,30,11,6,13,29,42,-13,a
8,,SC Braga,26,30,10,6,14,34,40,-6,a
9,,Varzim,26,30,8,10,12,37,45,-8,a
10,,Marítimo,26,30,9,8,13,25,37,-12,a
11,,Portimonense,26,30,10,6,14,32,49,-17,a
12,,V. Setúbal,23,30,9,5,16,29,41,-12,a
13,,Estoril Praia,21,30,5,11,14,18,37,-19,a
14,,UD Leiria,21,30,6,9,15,26,49,-23,a
15,,Beira-Mar,20,30,5,10,15,24,46,-22,a
16,,Rio Ave,13,30,5,3,22,22,61,-39,a
