,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,43,26,19,5,2,79,21,58,a
2,,FC Porto,43,26,21,1,4,64,25,39,a
3,,Benfica,36,26,17,2,7,59,23,36,a
4,,Belenenses,28,26,12,4,10,54,42,12,a
5,,SC Braga,25,26,9,7,10,51,52,-1,a
6,,Lusit. Évora,24,26,10,4,12,37,36,1,a
7,,Barreirense,24,26,10,4,12,42,52,-10,a
8,,Torreense,24,26,11,2,13,30,46,-16,a
9,,Académica OAF,24,26,10,4,12,45,40,5,a
10,,Caldas SC,23,26,9,5,12,30,46,-16,a
11,,V. Setúbal,22,26,9,4,13,37,59,-22,a
12,,CUF,19,26,8,3,15,40,59,-19,a
13,,SC Salgueiros,16,26,7,2,17,45,65,-20,a
14,,Oriental,13,26,4,5,17,21,68,-47,a
